GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EventBoardBackEnd,url_processor,ProcessURL,5,111,0,8,2,29,0,7,0,3
EventBoardBackEnd,post_requests_handlers,AssociationsPostRequestHandler,326,199,26,22,91,56,16,11,0,3
EventBoardBackEnd,post_requests_handlers,EventsPostRequestHandler,127,163,11,15,34,46,8,8,0,3
EventBoardBackEnd,post_requests_handlers,UsersPostRequestHandler,98,46,11,1,23,15,6,2,0,2
EventBoardBackEnd,routers,UsersRequestRouter,0,44,1,3,0,13,1,3,0,2
EventBoardBackEnd,routers,EventsRequestRouter,0,45,1,3,0,13,1,3,0,2
EventBoardBackEnd,routers,AssociationsRequestRouter,0,45,1,3,0,13,1,3,0,2
EventBoardBackEnd,get_requests_handlers,AssociationsGetRequestHandler,190,446,6,42,36,107,6,21,0,3
EventBoardBackEnd,get_requests_handlers,EventsGetRequestHandler,272,401,11,37,52,97,11,16,0,3
EventBoardBackEnd,get_requests_handlers,UsersGetRequestHandler,106,99,1,5,28,30,1,4,0,2
EventBoardBackEnd,microservices,Users,48,0,0,0,15,0,2,0,2,0
EventBoardBackEnd,microservices,Events,48,0,0,0,15,0,2,0,2,0
EventBoardBackEnd,microservices,Associations,48,0,0,0,15,0,2,0,2,0
